model,dataset,video_id,object_id,static_expression_count,dynamic_expression_count,static_expression_ids,dynamic_expression_ids,static_J,static_F,static_J_and_F,dynamic_J,dynamic_F,dynamic_J_and_F,dynamic_minus_static_J_and_F,dynamic_worse
Sa2VA-Qwen3-VL-4B,long_rvos,9c1297ecd3,2,2,2,4;6,5;7,0.5698211291324635,0.46202169526007986,0.5159214121962716,0.5781271523295721,0.47417368350022804,0.5261504179149001,0.010229005718628503,0
Sa2VA-Qwen3-VL-4B,long_rvos,a3f2b5d434,2,3,3,10;6;8,11;7;9,0.8936987235962981,0.9297693761429858,0.9117340498696418,0.8907456884199546,0.9201244121441272,0.9054350502820409,-0.00629899958760094,1
Sa2VA-Qwen3-VL-4B,long_rvos,a500f0e77c,1,1,1,0,1,0.7460777036360202,0.7719538828768086,0.7590157932564143,0.7437063308876846,0.7642738705076377,0.7539901006976611,-0.005025692558753181,1
Sa2VA-Qwen3-VL-4B,long_rvos,a595411232,3,2,2,10;8,11;9,0.3316122322594506,0.42302138550913715,0.37731680888429386,0.28470738791686134,0.37229065155770263,0.328499019737282,-0.04881778914701185,1
Sa2VA-Qwen3-VL-4B,long_rvos,a8b6fd5e4d,2,2,2,4;6,5;7,0.7127665411444286,0.4318591743866329,0.5723128577655308,0.6747950022413174,0.380733998466101,0.5277645003537093,-0.044548357411821504,1
Sa2VA-Qwen3-VL-4B,long_rvos,af3ad95fe0,5,1,1,8,9,0.022482737880244415,0.02923411749635143,0.025858427688297922,0.05606382919969448,0.0828063574137885,0.0694350933067415,0.043576665618443575,0
Sa2VA-Qwen3-VL-4B,long_rvos,af7297f0db,1,1,1,0,1,0.5277294431812318,0.5746269178245562,0.551178180502894,0.5459560804587866,0.5974081128316128,0.5716820966451996,0.020503916142305623,0
Sa2VA-Qwen3-VL-4B,long_rvos,b4a5ada352,1,2,2,0;2,1;3,0.6179346956852889,0.32647866434059347,0.47220668001294114,0.519326086193951,0.22637337060914628,0.3728497284015487,-0.09935695161139246,1
Sa2VA-Qwen3-VL-4B,long_rvos,b5c9c04bf9,5,1,1,2,3,0.21832287999407823,0.26941952486118903,0.24387120242763363,0.25398416156319276,0.30115561973496524,0.277569890649079,0.033698688221445366,0
Sa2VA-Qwen3-VL-4B,long_rvos,bd4aefda10,2,2,2,4;6,5;7,0.3941693782105811,0.44590016587557907,0.42003477204308004,0.433009859074293,0.5675608799266696,0.5002853695004813,0.08025059745740126,0
Sa2VA-Qwen3-VL-4B,long_rvos,bda2f20019,3,2,2,10;8,11;9,0.6153362970728476,0.6552558162893721,0.6352960566811099,0.6158082648332874,0.6555142679792425,0.635661266406265,0.0003652097251550801,0
Sa2VA-Qwen3-VL-4B,long_rvos,c4638cc87e,1,2,2,0;2,1;3,0.24463953190310025,0.38161381858693,0.31312667524501514,0.16997128563536218,0.3343645588310316,0.2521679222331969,-0.060958753011818245,1
Sa2VA-Qwen3-VL-4B,long_rvos,c5c9b749d4,2,2,2,4;6,5;7,0.35106797344456053,0.2654354324558501,0.3082517029502054,0.323467018644207,0.23247372887743825,0.2779703737608226,-0.030281329189382755,1
Sa2VA-Qwen3-VL-4B,long_rvos,c6bb21356b,1,1,1,0,1,0.037129700114062,0.12260649017645339,0.0798680951452577,0.036561646023323346,0.10845277928655572,0.07250721265493953,-0.00736088249031816,1
Sa2VA-Qwen3-VL-4B,long_rvos,c733601fcd,1,1,1,0,1,0.6578647145040777,0.6866376541906541,0.672251184347366,0.6735326459857744,0.7022952493285791,0.6879139476571767,0.015662763309810757,0
Sa2VA-Qwen3-VL-4B,long_rvos,c73c2a03a0,1,1,1,0,1,0.790841094009087,0.7809021618474028,0.7858716279282449,0.5299664008309071,0.4896443271932186,0.5098053640120628,-0.27606626391618216,1
Sa2VA-Qwen3-VL-4B,long_rvos,d33c8343bc,3,1,1,4,5,0.08042609021173122,0.08188683490161788,0.08115646255667455,0.08681871562693705,0.08103906347416062,0.08392888955054884,0.002772426993874283,0
Sa2VA-Qwen3-VL-4B,long_rvos,dca31590b8,2,2,1,4;6,5,0.2763756155129563,0.2587772763060461,0.26757644590950114,0.2545173304452121,0.22766952011222083,0.24109342527871647,-0.02648302063078467,1
Sa2VA-Qwen3-VL-4B,long_rvos,ddc213ba3f,2,1,1,2,3,0.9327396084633364,0.8851757519895274,0.9089576802264319,0.9326940737795323,0.8818323102385888,0.9072631920090606,-0.0016944882173712816,1
Sa2VA-Qwen3-VL-4B,long_rvos,e6f1a061ea,1,2,2,0;2,1;3,0.5192426572058725,0.495238751594141,0.5072407044000067,0.518285484904517,0.49786616313152643,0.5080758240180216,0.0008351196180149678,0
Sa2VA-Qwen3-VL-4B,long_rvos,e9b78ad8e7,1,1,1,0,1,0.4229651218177516,0.5058055300571223,0.4643853259374369,0.3903283715125204,0.4587787047029765,0.42455353810774843,-0.03983178782968849,1
Sa2VA-Qwen3-VL-4B,long_rvos,f3864705c4,3,2,1,7;9,8,0.32971670815145915,0.5092346581034098,0.4194756831274345,0.3379195029775314,0.4926452678475166,0.41528238541252405,-0.004193297714910449,1
Sa2VA-Qwen3-VL-4B,long_rvos,f771c97b16,6,2,2,20;22,21;23,0.0,0.0008241359640195536,0.0004120679820097768,0.01664663227683837,0.020020677985404068,0.01833365513112122,0.01792158714911144,0
InstructSeg,long_rvos,0310d3743b,3,1,2,8,12;9,0.13048377368478423,0.3098800222835515,0.22018189798416787,0.128005863924756,0.3047824459782522,0.2163941549515041,-0.0037877430326637707,1
InstructSeg,long_rvos,046ee6aa1a,2,1,2,2,3;5,0.3146298292885443,0.25159833074620286,0.2831140800173736,0.34636106051232757,0.25934256551954527,0.30285181301593644,0.01973773299856285,0
InstructSeg,long_rvos,0d0ebe00cc,2,2,2,4;6,5;7,0.31827560939461785,0.2687541481127995,0.2935148787537087,0.2888826817099781,0.23942382939142973,0.2641532555507039,-0.029361623203004783,1
InstructSeg,long_rvos,1088228079,1,1,1,0,1,0.9049557290086683,0.9423911888027088,0.9236734589056885,0.8251988072451579,0.8605981105521338,0.8428984588986459,-0.08077500000704263,1
InstructSeg,long_rvos,119777f4c0,1,2,2,0;2,1;3,0.2910990094673479,0.24877257073085696,0.2699357900991024,0.24605577942581508,0.24595404806202792,0.24600491374392147,-0.02393087635518093,1
InstructSeg,long_rvos,18b160d3a7,2,1,1,4,5,0.6250802956868542,0.6421651192224404,0.6336227074546472,0.1892542019508008,0.22881723044753374,0.20903571619916728,-0.42458699125547994,1
InstructSeg,long_rvos,1a5dead3e3,1,1,1,0,1,0.8251215106937293,0.7542741608088244,0.7896978357512768,0.8218701497161638,0.7398125311940038,0.7808413404550838,-0.008856495296193034,1
InstructSeg,long_rvos,20eaede0fb,2,1,1,4,5,0.1417598476729404,0.0922166658534938,0.1169882567632171,0.012985523556423328,0.0066184417259261275,0.009801982641174729,-0.10718627412204237,1
InstructSeg,long_rvos,22680d3b50,4,2,2,3;5,4;6,0.7429729828132043,0.8107787967509013,0.7768758897820528,0.7263006707067216,0.7910711784899888,0.7586859245983552,-0.018189965183697643,1
InstructSeg,long_rvos,2683deffcb,1,1,1,0,1,0.8350713374933777,0.857243651364871,0.8461574944291244,0.8212342051148371,0.8374528811332331,0.8293435431240351,-0.016813951305089225,1
InstructSeg,long_rvos,28ff632792,1,1,2,0,1;6,0.31079121404786314,0.30330016641662616,0.30704569023224465,0.31971092004399404,0.3103559314275635,0.31503342573577875,0.007987735503534099,0
InstructSeg,long_rvos,2a87bea97e,1,2,2,0;2,1;3,0.6390488906094833,0.4081767691317578,0.5236128298706206,0.6067445496952848,0.4000458747984508,0.5033952122468678,-0.020217617623752848,1
InstructSeg,long_rvos,2abb12f2f7,1,1,1,0,1,0.8024054219045796,0.7221259939712299,0.7622657079379047,0.3858777011436587,0.4883244439359539,0.43710107253980635,-0.32516463539809837,1
InstructSeg,long_rvos,2c4cbde1aa,1,2,2,0;2,1;3,0.45497901745805464,0.50823480529504,0.4816069113765473,0.24559332001343903,0.2795183471062493,0.26255583355984413,-0.2190510778167032,1
InstructSeg,long_rvos,2cfdc294c5,1,2,3,0;2,1;3;8,0.7587858812194177,0.7465081350657339,0.7526470081425758,0.7639303286082552,0.7430449748180289,0.753487651713142,0.0008406435705662352,0
InstructSeg,long_rvos,30c20fb4c1,3,2,2,10;8,11;9,0.23697014698985713,0.2818878662969966,0.2594290066434269,0.5844184173920544,0.4997446326684096,0.542081525030232,0.2826525183868051,0
InstructSeg,long_rvos,30f4d962f9,1,1,1,0,1,0.6002019247230357,0.6188652695113609,0.6095335971171982,0.4242896478722953,0.48427722032029663,0.45428343409629596,-0.15525016302090228,1
InstructSeg,long_rvos,31a352c169,1,2,2,0;2,1;3,0.8611606674609904,0.7543953701056205,0.8077780187833055,0.8684815278814361,0.7667755140053961,0.8176285209434161,0.00985050216011063,0
InstructSeg,long_rvos,39db436191,3,1,1,4,5,0.7239273156278923,0.7392214801114376,0.7315743978696649,0.7120365640795601,0.7306845393800252,0.7213605517297926,-0.010213846139872307,1
InstructSeg,long_rvos,41c5109249,1,1,1,0,1,0.7539406183546803,0.677821810924407,0.7158812146395437,0.6061808984856383,0.565677050460294,0.5859289744729661,-0.12995224016657758,1
InstructSeg,long_rvos,5c0c9c0098,3,1,1,8,9,0.09617226858316422,0.13009721137089258,0.1131347399770284,0.02954955712105017,0.06039398882853339,0.04497177297479178,-0.06816296700223662,1
InstructSeg,long_rvos,5d262b025c,1,1,1,0,1,0.5607613874080706,0.5829522083801819,0.5718567978941262,0.5637089788740106,0.5812760321429611,0.5724925055084858,0.0006357076143596041,0
InstructSeg,long_rvos,5d2c735adb,1,1,1,0,1,0.3423366369465962,0.3860336853035028,0.3641851611250495,0.20362965050973908,0.2270196781142358,0.21532466431198743,-0.14886049681306207,1
InstructSeg,long_rvos,68170c3f7a,2,2,2,4;6,5;7,0.18105445633993592,0.19601658844839953,0.1885355223941677,0.1857588291460618,0.20124342110231375,0.19350112512418777,0.004965602730020058,0
InstructSeg,long_rvos,6a1db02e31,2,2,2,4;6,5;7,0.20547850856644434,0.2006673705664633,0.2030729395664538,0.2530440048123037,0.23152247822284533,0.24228324151757452,0.03921030195112071,0
InstructSeg,long_rvos,6bf32cc0d5,2,2,1,4;5,6,0.4116330389625146,0.33690893653502313,0.3742709877487689,0.4450982004565248,0.36472835669374304,0.40491327857513393,0.03064229082636505,0
InstructSeg,long_rvos,6d76f5cbc2,1,2,2,0;2,1;3,0.732823454492429,0.7470659682180499,0.7399447113552395,0.7341624917865779,0.7492619853165026,0.7417122385515402,0.0017675271963006889,0
InstructSeg,long_rvos,6db18ab93a,1,2,2,0;2,1;3,0.5185678192799223,0.46290451928950516,0.49073616928471375,0.5123781950712902,0.4634877555871123,0.4879329753292012,-0.0028031939555125396,1
InstructSeg,long_rvos,6fb7a04167,12,2,2,4;6,5;7,0.09740359705757706,0.13584849809929594,0.1166260475784365,0.1835273379043399,0.20860494890965367,0.1960661434069968,0.07944009582856029,0
InstructSeg,long_rvos,7bdbd4f32f,1,2,2,0;2,1;3,0.8796119436759117,0.8735471501119102,0.8765795468939109,0.9167024641734807,0.8967730205632043,0.9067377423683425,0.03015819547443155,0
InstructSeg,long_rvos,7caa203c75,2,1,1,2,3,0.8603613568914672,0.7556742648044519,0.8080178108479595,0.8604853870834597,0.7569624977972915,0.8087239424403756,0.0007061315924160594,0
InstructSeg,long_rvos,8086f00d3d,2,2,2,4;6,5;7,0.9355725119632419,0.7892213154844716,0.8623969137238567,0.93905009204658,0.7810061946029956,0.8600281433247877,-0.00236877039906902,1
InstructSeg,long_rvos,8093ebd9a3,3,1,1,8,9,0.23945285531495059,0.5039571992654004,0.3717050272901755,0.29902114697625015,0.5709461229551056,0.4349836349656779,0.06327860767550236,0
InstructSeg,long_rvos,8290c48fcb,9,1,1,16,17,0.653298782515746,0.5429471891072111,0.5981229858114785,0.648442450835287,0.5243973466118607,0.5864198987235738,-0.011703087087904684,1
InstructSeg,long_rvos,84dc481247,3,2,1,10;8,9,0.19904470934485075,0.1673704833026568,0.18320759632375377,0.12830031232068412,0.09126327901073562,0.10978179566570986,-0.07342580065804391,1
InstructSeg,long_rvos,882e8c62d3,2,1,1,2,3,0.5456499725372934,0.5411626342587403,0.5434063033980169,0.44567532855805425,0.45970160326533627,0.45268846591169526,-0.09071783748632162,1
InstructSeg,long_rvos,8847e5550e,2,1,1,2,3,0.4294550099604729,0.4639137115317223,0.44668436074609763,0.09672291630824778,0.09774905879388503,0.09723598755106641,-0.3494483731950312,1
InstructSeg,long_rvos,8b0e20e373,1,1,1,0,1,0.4022820938141066,0.3782864098458711,0.3902842518299888,0.4051616528356313,0.38435812669282426,0.3947598897642278,0.004475637934238996,0
InstructSeg,long_rvos,939b6aed6d,7,2,1,24;25,26,0.35528982713020657,0.3490204106769503,0.3521551189035784,0.6083322250890262,0.5590102783172863,0.5836712517031563,0.23151613279957783,0
InstructSeg,long_rvos,976257d833,1,2,2,0;2,1;3,0.5884476020594229,0.4867109506406064,0.5375792763500147,0.5052161478160175,0.4594397362944672,0.4823279420552424,-0.0552513342947723,1
InstructSeg,long_rvos,9bc92f09e0,1,2,2,0;2,1;3,0.49302794087633284,0.5650005072760012,0.5290142240761669,0.40838070594128906,0.4648336539343735,0.43660717993783127,-0.09240704413833567,1
InstructSeg,long_rvos,9c1297ecd3,2,2,2,4;6,5;7,0.6408138476899753,0.5663820762445193,0.6035979619672472,0.24466483941731895,0.22743424831435466,0.2360495438658368,-0.3675484181014105,1
InstructSeg,long_rvos,a3f2b5d434,2,3,3,10;6;8,11;7;9,0.8961340192903221,0.9228903879720395,0.9095122036311808,0.8781418457025238,0.9084593274773173,0.8933005865899205,-0.016211617041260284,1
InstructSeg,long_rvos,a500f0e77c,1,1,1,0,1,0.7707535259024771,0.7683647404566749,0.769559133179576,0.7840339657157207,0.7940197673318177,0.7890268665237692,0.01946773334419316,0
InstructSeg,long_rvos,a595411232,3,2,2,10;8,11;9,0.22076491084114433,0.28292247283398797,0.25184369183756616,0.3210174054324103,0.3927464637059648,0.3568819345691875,0.10503824273162132,0
InstructSeg,long_rvos,a8b6fd5e4d,2,2,2,4;6,5;7,0.6573279903061413,0.4033092227560606,0.530318606531101,0.6452085031840312,0.4006733998812561,0.5229409515326437,-0.007377654998457217,1
InstructSeg,long_rvos,af3ad95fe0,5,1,1,8,9,0.41097440160806953,0.5416106518974417,0.47629252675275563,0.3953314406395294,0.5321258120111072,0.4637286263253183,-0.012563900427437324,1
InstructSeg,long_rvos,af7297f0db,1,1,1,0,1,0.5405784787913004,0.5487259471950483,0.5446522129931743,0.5272498389539804,0.5492783685319687,0.5382641037429745,-0.006388109250199836,1
InstructSeg,long_rvos,b4a5ada352,1,2,2,0;2,1;3,0.7436900338233676,0.5473166409525247,0.6455033373879462,0.5109068427369445,0.4300396778049692,0.4704732602709568,-0.17503007711698937,1
InstructSeg,long_rvos,b5c9c04bf9,5,1,1,2,3,0.5386006676016599,0.5707963335108237,0.5546985005562418,0.0749198815291428,0.08311448426973178,0.0790171828994373,-0.47568131765680455,1
InstructSeg,long_rvos,bd4aefda10,2,2,2,4;6,5;7,0.363964437311058,0.4119995014918314,0.3879819694014447,0.43340471914748824,0.47844448112466686,0.45592460013607755,0.06794263073463286,0
InstructSeg,long_rvos,bda2f20019,3,2,2,10;8,11;9,0.6184531010474966,0.6448487144694359,0.6316509077584663,0.6144450405162442,0.6361545091228022,0.6252997748195233,-0.0063511329389430715,1
InstructSeg,long_rvos,c4638cc87e,1,2,2,0;2,1;3,0.4765614251768471,0.5334079155400677,0.5049846703584574,0.2860164134154175,0.40118012201704734,0.3435982677162324,-0.16138640264222498,1
InstructSeg,long_rvos,c5c9b749d4,2,2,2,4;6,5;7,0.3782466923629548,0.2817327519438825,0.3299897221534186,0.27784942536789975,0.2257365300900415,0.25179297772897064,-0.07819674442444796,1
InstructSeg,long_rvos,c6bb21356b,1,1,1,0,1,0.3323530499819357,0.543577697884377,0.4379653739331564,0.2967305891342541,0.5639373176208132,0.43033395337753366,-0.007631420555622714,1
InstructSeg,long_rvos,c733601fcd,1,1,1,0,1,0.4108001807219747,0.4358682123087217,0.4233341965153482,0.38987654972089614,0.4257710087379671,0.4078237792294316,-0.015510417285916622,1
InstructSeg,long_rvos,c73c2a03a0,1,1,1,0,1,0.7661663508669132,0.7434694810154927,0.754817915941203,0.3052129017405787,0.4120745821535976,0.35864374194708815,-0.3961741739941148,1
InstructSeg,long_rvos,d33c8343bc,3,1,1,4,5,0.36018143143985754,0.3683861631804206,0.36428379731013905,0.34128946606221844,0.3404064124620132,0.3408479392621158,-0.023435858048023228,1
InstructSeg,long_rvos,dca31590b8,2,2,1,4;6,5,0.1931361908352461,0.18870599690887432,0.19092109387206022,0.12482386395251573,0.10809150331670625,0.11645768363461098,-0.07446341023744923,1
InstructSeg,long_rvos,ddc213ba3f,2,1,1,2,3,0.8738398257319574,0.8009064571706243,0.8373731414512908,0.9052452814680743,0.8199117430961291,0.8625785122821017,0.02520537083081087,0
InstructSeg,long_rvos,e6f1a061ea,1,2,2,0;2,1;3,0.45050317898933806,0.43067762231501183,0.4405904006521749,0.35803798160492406,0.3515697319040393,0.3548038567544817,-0.08578654389769325,1
InstructSeg,long_rvos,e9b78ad8e7,1,1,1,0,1,0.4751128339738567,0.543326506626301,0.5092196703000789,0.4034901068269722,0.47872126243347435,0.44110568463022326,-0.0681139856698556,1
InstructSeg,long_rvos,f3864705c4,3,2,1,7;9,8,0.33884689284281977,0.49226545028970015,0.41555617156625996,0.2101395171521454,0.40398119612872374,0.3070603566404346,-0.10849581492582538,1
InstructSeg,long_rvos,f771c97b16,6,2,2,20;22,21;23,0.20835596835684764,0.2619444884300361,0.23515022839344185,0.2063859044567136,0.26419298404740754,0.23528944425206055,0.000139215858618702,0
VIRST,long_rvos,0310d3743b,3,1,2,8,12;9,0.7321324426277329,0.8529891628655366,0.7925608027466348,0.5933969038000949,0.6253051812631403,0.6093510425316175,-0.18320976021501723,1
VIRST,long_rvos,046ee6aa1a,2,1,2,2,3;5,0.7874449528765743,0.7511617067060593,0.7693033297913168,0.9697467284881633,0.8899269995018203,0.9298368639949919,0.1605335342036751,0
VIRST,long_rvos,0d0ebe00cc,2,2,2,4;6,5;7,0.648841252618755,0.5651272589963361,0.6069842558075456,0.6135147529161542,0.5127486435112791,0.5631316982137167,-0.04385255759382889,1
VIRST,long_rvos,1088228079,1,1,1,0,1,0.9750082395871933,0.9933910878000989,0.9841996636936461,0.9771772257792932,0.9945313367891677,0.9858542812842305,0.001654617590584384,0
